section,title,description,priceText,priceCents,imageUrl,uuid
burger/sandwich combo 汉堡系列套餐,Deluxe Chicken Sandwich 鸡腿堡,"A juicy chicken breast fillet marinated in chick rocks seasonings.sandwiched between two buttery toasted brioche buns,topped with crispy lettuce,tomatoes slices and chick rocks spicial sauce.",$9.99,999,https://tb-static.uber.com/prod/image-proc/processed_images/b949d478f36d4bdf4583a6e8b0311684/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,23c54b78-73aa-5c31-b1b7-5dbd51f5c473
Mix Chicken Combo 鸡块套餐,2Pc Chicken Only 鸡块 (2Pc),,$7.99,799,https://tb-static.uber.com/prod/image-proc/processed_images/603e879c3e46bf10cc7016cf90c12f4f/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,e27d9ffb-ebef-5f79-9078-f4ec95dfe93b
Special Offer 特供,Rocks Chicken Wings (6Pc) 摇滚鸡翅（6Pc）,,$8.99,899,https://tb-static.uber.com/prod/image-proc/processed_images/c4af6a0d39e3ecdd58329ba9c727ed85/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,2618fc6d-048d-55ec-96b9-914e2fbaf89d
Rice Bowl  摇滚鸡排饭,Creamy Mushroom Chicken 奶油蘑菇鸡排饭,come with the grill halal chicken、fried halal chicken fillet、fresh coleslaw、creamy mushroom sauce  on top of the white rice,$10.46,1047,https://tb-static.uber.com/prod/image-proc/processed_images/e65f92c647955fe42262d493f0b18526/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,c6ef474f-e2e1-5637-80a6-4397cbe72d9c
Rice Bowl  摇滚鸡排饭,Treiyaki Chicken 照烧鸡排饭,come with the grill  chicken、fried chicken fillet、fresh coleslaw、treiyaki sause on top of the white rice,$10.46,1047,https://tb-static.uber.com/prod/image-proc/processed_images/5727258e5060a980a268e60b0bc88998/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,cb810b09-e67c-5f96-898b-7ad927d49f7c
Rice Bowl  摇滚鸡排饭,Curry Chicken 咖喱鸡排饭,come with the grill  chicken、fried  chicken fillet、fresh coleslaw、curry  sause on top of the white rice,$10.46,1047,https://tb-static.uber.com/prod/image-proc/processed_images/468c1d20b9337ebdb2d135733291498e/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,edcb5d9a-32c8-5d43-bc85-84ebd87956f4
Special Offer 特供,Rocks Chicken Wings (12Pc) 摇滚鸡翅（12Pc）,,$15.99,1599,https://tb-static.uber.com/prod/image-proc/processed_images/c4af6a0d39e3ecdd58329ba9c727ed85/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,7e4c37c2-7d38-5ed7-a311-e1eefd00d5fb
Special Offer 特供,Crispy Wing Combo (10 Pcs) 香酥鸡翅套餐（10只）,"COME WITH 2 (M)SIDES
· Seasoned Fries
· Mash Potatoes
· Mac & Cheese
· Coleslaw",$19.95,1995,https://tb-static.uber.com/prod/image-proc/processed_images/959dd221e7b5c6c14396843de6086b43/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,e9106c9c-018b-576f-9c10-e215d97867d7
Special Offer 特供,Mix Fried Chicken Family Combo (10 Pcs) 香酥鸡家庭套餐（10块）,"Comes With 3 Sides
· Seasoned Fried
· Mash Potatoes
· Mac & Cheese OR Coleslaw",$24.95,2495,https://tb-static.uber.com/prod/image-proc/processed_images/17039fbd934e441b46370f5e3e541f6e/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,7acce250-0ae5-5ea0-8369-d206da278742
Special Offer 特供,Mix Sandwich Family Combo 混合三明治家庭套餐,"3 Chicken Sandwich + 3 pcs Fried Chicken and 3 medium sides
CHOOICE OF: 
Seasoned Fries
Mash Potatoes
Mac & Cheese
Coleslaw",$34.95,3495,https://tb-static.uber.com/prod/image-proc/processed_images/a00252c0ac3c3a836a9eb6d83218df92/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,75872ad2-f4bc-5fd7-acb4-68fded799b65
Rocks Spaghetti Combo 摇滚意面套餐,Rock Spaghetti 摇滚肉酱意面,spaghetti topped with tomato beef sauce、 cheese.,$13.95,1395,https://tb-static.uber.com/prod/image-proc/processed_images/3e3daf88203eed4193a5918acdfc8d28/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b0a4f654-66ab-5bf6-9857-0b88960e4d56
Rocks Spaghetti Combo 摇滚意面套餐,Rock Spaghetti-1Pc Fried Chicken 摇滚肉酱意面-1Pc炸鸡,spaghetti topped with tomato beef sauce、 cheese.,$15.95,1595,https://tb-static.uber.com/prod/image-proc/processed_images/b3c13c1f3b7a17088ea769292ed7b7e0/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,287e270f-e61f-50ce-8f3b-db77714b1a32
